Country;y1975;y1976;y1977;y1978;y1979;y1980;y1981;y1982;y1983;y1984;y1985;y1986;y1987;y1988;y1989;y1990;y1991;y1992;y1993;y1994;y1995;y1996;y1997;y1998;y1999;y2000;y2001;y2002;y2003;y2004;y2005;y2006;y2007;y2008;y2009;y2010;y2011;y2012;y2013;y2014;y2015;y2016
Tunisia;2.63;;;;;3.47;;;;;3.93;;;;;4.68;;;;;5.48;;;;;6.32;;;;;7.21;;;;;8;;;;;;
Turkey;3.09;;;;;3.77;;;;;4.82;;;;;5.22;;;;;5.88;;;;;6.37;;;;;6.86;;;;;7.44;;;;;;
Uganda;2;;;;;2.4;;;;;3.02;;;;;3.71;;;;;4.17;;;;;4.56;;;;;5.11;;;;;5.87;;;;;;
United Kingdom;8.39;;;;;8.52;;;;;8.76;;;;;9.28;;;;;9.67;;;;;9.97;;;;;11.57;;;;;12.46;;;;;;
United States;11.73;;;;;12.28;;;;;12.35;;;;;12.55;;;;;12.83;;;;;13.1;;;;;13.01;;;;;13.24;;;;;;
Uruguay;6.45;;;;;6.94;;;;;7.4;;;;;7.71;;;;;8.08;;;;;8.36;;;;;8.5;;;;;8.61;;;;;;
Venezuela;4.51;;;;;5.47;;;;;5.33;;;;;5.26;;;;;6.11;;;;;7.01;;;;;7.8;;;;;8.78;;;;;;
Yemen;0.08;;;;;0.25;;;;;0.64;;;;;1.25;;;;;1.77;;;;;2.45;;;;;3.12;;;;;3.84;;;;;;
Zambia;3.81;;;;;4.36;;;;;4.77;;;;;5.02;;;;;6.03;;;;;6.35;;;;;6.59;;;;;7.4;;;;;;
Zimbabwe;3.54;;;;;4.03;;;;;4.84;;;;;5.97;;;;;6.85;;;;;7.26;;;;;7.65;;;;;7.86;;;;;;
